"","X","Y","month","day","FFMC","DMC","DC","ISI","temp","RH","wind","rain","area","season","logarea","b_area"
"9",8,6,"sep","tue",91,129.5,692.6,7,13.1,63,5.4,0,0,"autoumn",NA,0
"265",4,4,"aug","fri",94.3,167.6,684.4,13,21.8,53,3.1,0,6.54,"summer",1.87793716546911,1
"49",4,4,"mar","mon",87.2,23.9,64.7,4.1,11.8,35,1.8,0,0,"spring",NA,0
"89",1,2,"sep","sun",93.5,149.3,728.6,8.1,25.3,36,3.6,0,0,"autoumn",NA,0
"296",7,5,"jun","sun",93.1,180.4,430.8,11,22.2,48,1.3,0,0,"summer",NA,0
"25",7,4,"aug","sat",93.5,139.4,594.2,20.3,23.7,32,5.8,0,0,"summer",NA,0
"510",5,4,"aug","fri",91,166.9,752.6,7.1,21.1,71,7.6,1.4,2.17,"summer",0.774727167552368,1
"458",1,4,"aug","wed",91.7,191.4,635.9,7.8,19.9,50,4,0,82.75,"summer",4.41582401425717,1
"508",2,4,"aug","fri",91,166.9,752.6,7.1,25.9,41,3.6,0,0,"summer",NA,0
"385",8,4,"aug","sat",91.6,273.8,819.1,7.7,21.3,44,4.5,0,12.18,"summer",2.49979526228175,1
"132",4,6,"mar","mon",87.2,23.9,64.7,4.1,14,39,3.1,0,0,"spring",NA,0
"106",4,5,"mar","fri",85.9,19.5,57.3,2.8,12.7,52,6.3,0,0,"spring",NA,0
"333",4,4,"sep","sat",91.2,124.4,795.3,8.5,17.1,41,2.2,0,11.22,"autoumn",2.41769790009455,1
"150",8,6,"sep","thu",93.7,80.9,685.2,17.9,23.7,25,4.5,0,1.12,"autoumn",0.113328685307003,1
"471",5,4,"apr","sun",91,14.6,25.6,12.3,17.6,27,5.8,0,0,"spring",NA,0
"261",2,4,"aug","mon",93.6,97.9,542,14.4,28.3,32,4,0,8.85,"summer",2.18041745901984,1
"292",9,4,"jul","sat",91.6,104.2,474.9,9,25.3,39,0.9,0,8,"summer",2.07944154167984,1
"464",6,5,"feb","tue",75.1,4.4,16.2,1.9,4.6,82,6.3,0,5.39,"winter",1.68454538492091,1
"302",6,5,"jun","mon",90.4,93.3,298.1,7.5,19.1,39,5.4,0,3.52,"summer",1.25846098961001,1
"155",1,5,"sep","sat",93.4,145.4,721.4,8.1,29.6,27,2.7,0,1.46,"autoumn",0.378436435720245,1
"166",6,5,"mar","thu",84.9,18.2,55,3,5.3,70,4.5,0,2.14,"spring",0.76080582903376,1
"387",3,4,"sep","sun",90.5,96.7,750.5,11.4,20.6,55,5.4,0,24.59,"autoumn",3.2023398562281,1
"467",6,5,"mar","mon",87.2,15.1,36.9,7.1,10.2,45,5.8,0,3.18,"spring",1.15688119679209,1
"79",1,2,"aug","fri",90.1,108,529.8,12.5,14.7,66,2.7,0,0,"summer",NA,0
"114",3,4,"sep","mon",91.8,78.5,724.3,9.2,18.9,35,2.7,0,0,"autoumn",NA,0
"309",2,4,"sep","sun",92.4,105.8,758.1,9.9,16,45,1.8,0,0,"autoumn",NA,0
"42",4,4,"aug","sat",90.2,96.9,624.2,8.9,18.4,42,6.7,0,0,"summer",NA,0
"125",3,4,"sep","fri",94.3,85.1,692.3,15.9,19.8,50,5.4,0,0,"autoumn",NA,0
